Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length
2018-07-23,"Magic in the Middle",5.9,W/dad,https://www.mountainproject.com/route/111944670/magic-in-the-middle,6,"Zowie > Otis Peak > RMNP - Rock > Alpine Rock > Colorado",2.9,2,,,"Trad, Alpine","5.9 R",700
2018-07-17,"Rain Shadow",5.12b,"2nd go. More fun then expected",https://www.mountainproject.com/route/105998457/rain-shadow,1,"Easter Rock > Boulder Canyon > Boulder > Colorado",2.6,3,Lead,Redpoint,Trad,,45
2018-07-15,"Rainbow Highway",5.10c/d,,https://www.mountainproject.com/route/107724863/rainbow-highway,6,"The Black Wall > Mt. Evans > Alpine Rock > Colorado",3.2,3,,,"Trad, Alpine",,800
2018-07-12,"The Flying Beast",5.12d,"b2b2b with Andy and Brian",https://www.mountainproject.com/route/105750778/the-flying-beast,1,"Easter Rock > Boulder Canyon > Boulder > Colorado",3.4,4,Lead,Redpoint,Sport,,
2018-07-08,"West Crack",5.9+,,https://www.mountainproject.com/route/105750652/west-crack,1,"Bell Buttress - Main Crag > Bell Buttress Massif > Boulder Canyon > Boulder > Colorado",3.0,3,,,Trad,,
2018-07-08,Cosmosis,5.10a,,https://www.mountainproject.com/route/105750457/cosmosis,2,"Bell Buttress - Main Crag > Bell Buttress Massif > Boulder Canyon > Boulder > Colorado",3.6,4,,,Trad,,
2018-07-06,"Cary Granite",5.11c,"With Aaron",https://www.mountainproject.com/route/105764595/cary-granite,5,"The Black Wall > Mt. Evans > Alpine Rock > Colorado",3.8,4,,,"Trad, Alpine",5.11a/b,480
2018-07-04,"Divination Direct",5.11c/d,,https://www.mountainproject.com/route/105758871/divination-direct,3,"Lost Angel > Upper Dream Canyon > Boulder > Colorado",2.9,3,,,Sport,,90
2018-07-04,Divination,5.11b,,https://www.mountainproject.com/route/105748571/divination,3,"Lost Angel > Upper Dream Canyon > Boulder > Colorado",3.2,3,,,Sport,,
2018-07-04,Archangel,5.12c,"First &#34;hard&#34; route after injury, surprised by getting second go ",https://www.mountainproject.com/route/108240564/archangel,2,"Lost Angel > Upper Dream Canyon > Boulder > Colorado",3.9,4,,,Sport,,100
2018-06-24,"Good Evans",5.10d,,https://www.mountainproject.com/route/105755089/good-evans,1,"The Black Wall > Mt. Evans > Alpine Rock > Colorado",3.5,4,,,"Trad, Alpine",,
2018-06-20,Gambit,5.8,,https://www.mountainproject.com/route/105751960/gambit,5,"Shirt Tail Peak > Eldorado Canyon SP > Boulder > Colorado",3.6,4,,,Trad,,
2018-06-17,"Days of Heaven",5.10d,,https://www.mountainproject.com/route/105749047/days-of-heaven,3,"Rock Of Ages > Fern Canyon Rocks > RMNP - Rock > Alpine Rock > Colorado",3.9,4,,,Trad,"5.10b/c R",200
2018-06-12,"Werk Supp",5.9,,https://www.mountainproject.com/route/105749890/werk-supp,1,"The Bastille - N Face > The Bastille > Eldorado Canyon SP > Boulder > Colorado",3.3,4,,,Trad,,
2018-06-12,"Anthill Direct","5.9- R",,https://www.mountainproject.com/route/105749035/anthill-direct,5,"Redgarden - S Buttress > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",3.3,4,,,Trad,,
2018-06-10,"Climb and Punishment",5.9+,,https://www.mountainproject.com/route/105752524/climb-and-punishment,1,"Reynolds Hill > Vedauwoo > Wyoming",3.5,3,,,Trad,,80
2018-06-10,Labyrinth,5.9,,https://www.mountainproject.com/route/105895689/labyrinth,1,"Reynolds Hill > Vedauwoo > Wyoming",3.5,4,,,Trad,,
2018-05-24,"The Naked Edge",5.11b,"with Brian",https://www.mountainproject.com/route/105748786/the-naked-edge,6,"Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",3.9,4,,,Trad,,460
2018-05-23,"The Riddler",5.11c,,https://www.mountainproject.com/route/105757507/the-riddler,1,"Easter Rock > Boulder Canyon > Boulder > Colorado",2.3,3,,,Sport,,50
2018-05-23,"The Joker",5.11,,https://www.mountainproject.com/route/105748436/the-joker,1,"Easter Rock > Boulder Canyon > Boulder > Colorado",2.0,2,,,Sport,,
2018-05-18,"Bob's Bulge",V6,,https://www.mountainproject.com/route/105749228/bobs-bulge,1,"Cloud Shadow > Flagstaff > Boulder > Colorado",2.8,3,,,Boulder,,
2018-05-16,"Fingers In A Lightsocket",5.11+,,https://www.mountainproject.com/route/105717526/fingers-in-a-lightsocket,1,"Supercrack Buttress > Indian Creek > Moab Area > Utah",3.4,3,,,Trad,,
2018-05-15,"Casey's Route",5.10+,,https://www.mountainproject.com/route/105718792/caseys-route,1,"The Optimator > Indian Creek > Moab Area > Utah",2.6,3,,,Trad,,70
2018-05-15,"The Switch",5.10,,https://www.mountainproject.com/route/108068520/the-switch,1,"2nd Meat Wall > Indian Creek > Moab Area > Utah",2.6,3,,,Trad,,90
2018-05-15,"Way Nutter",5.9,,https://www.mountainproject.com/route/105718567/way-nutter,1,"Way Rambo > Indian Creek > Moab Area > Utah",2.6,3,,,Trad,,40
2018-05-15,"Blue Sun",5.10-,,https://www.mountainproject.com/route/105718435/blue-sun,1,"Way Rambo > Indian Creek > Moab Area > Utah",3.6,3,,,Trad,,70
2018-05-15,"Way Rambo",5.12-,,https://www.mountainproject.com/route/105718642/way-rambo,1,"Way Rambo > Indian Creek > Moab Area > Utah",3.8,3,,,Trad,,100
2018-05-15,Fuzz,"5.10 PG13",,https://www.mountainproject.com/route/105718768/fuzz,1,"Way Rambo > Indian Creek > Moab Area > Utah",3.2,4,,,Trad,,115
2018-04-29,"By Gully",5.9+,,https://www.mountainproject.com/route/105760530/by-gully,1,"Castle Rock > Boulder Canyon > Boulder > Colorado",2.9,2,,,Trad,,30
2018-04-28,"Boys with Power Toys",5.12b,,https://www.mountainproject.com/route/105752425/boys-with-power-toys,1,"The Slab > South > Flatirons > Boulder > Colorado",3.1,3,,,Sport,,
2018-04-25,"Animal Riots Activist",5.12a,,https://www.mountainproject.com/route/105754999/animal-riots-activist,1,"Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado",2.6,2,,,Sport,,45
2018-04-25,"Hands of Destiny",5.12d,"3rd try",https://www.mountainproject.com/route/105751672/hands-of-destiny,1,"Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado",3.6,3,,,Sport,,
2018-04-25,"Joint Venture",5.11a,,https://www.mountainproject.com/route/105749782/joint-venture,1,"Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado",2.5,3,,,Sport,,
2018-04-23,Rehabilitator,5.11c/d,,https://www.mountainproject.com/route/105753832/rehabilitator,1,"Project Wall > Rifle Mountain Park > Rifle > Colorado",3.4,3,,,Sport,,
2018-04-23,"Cold Cuts",5.11a,,https://www.mountainproject.com/route/105753940/cold-cuts,1,"Meat Wall > Rifle Mountain Park > Rifle > Colorado",2.6,3,,,Sport,,
2018-04-23,"The Pollinator",5.12a,,https://www.mountainproject.com/route/105757681/the-pollinator,1,"The Arsenal > Rifle Mountain Park > Rifle > Colorado",2.1,3,Lead,Flash,Sport,,50
2018-04-18,"Country Club Crack",5.11c,,https://www.mountainproject.com/route/105748711/country-club-crack,2,"Castle Rock > Boulder Canyon > Boulder > Colorado",3.9,4,,,Trad,,
2018-04-16,"L.A. Law",5.10a,,https://www.mountainproject.com/route/105750121/la-law,1,"Wall of Justice > Clear Creek Canyon > Golden > Colorado",0.8,-1,,,Sport,,
2018-04-16,Lawsuit,5.10a,,https://www.mountainproject.com/route/105750124/lawsuit,1,"Wall of Justice > Clear Creek Canyon > Golden > Colorado",1.7,-1,,,Sport,,
2018-04-16,"Grandmother's Challenge",5.10c,,https://www.mountainproject.com/route/105748813/grandmothers-challenge,2,"Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",3.6,4,,,Trad,,
2018-04-15,Slammer,5.12b,,https://www.mountainproject.com/route/105748451/slammer,1,"Wall of Justice > Clear Creek Canyon > Golden > Colorado",3.5,4,,,Sport,,
2018-04-08,"That Flakes It",V4,,https://www.mountainproject.com/route/105753424/that-flakes-it,1,"Nook's Rock > The Dark Side > Flagstaff > Boulder > Colorado",2.4,2,,,Boulder,V3,
2018-04-08,"Just Right",V7,,https://www.mountainproject.com/route/105753835/just-right,1,"The Capstan > Flagstaff > Boulder > Colorado",3.4,4,,,Boulder,,
2018-04-08,"South Crack","V3- X",,https://www.mountainproject.com/route/105749272/south-crack,1,"The Capstan > Flagstaff > Boulder > Colorado",3.0,4,,,Boulder,,
2018-04-08,"Cryptic Magician",V7,,https://www.mountainproject.com/route/107507084/cryptic-magician,1,"Cryptic Boulder > The Dark Side > Flagstaff > Boulder > Colorado",3.0,3,,,Boulder,,10
2018-04-05,"Fraid Line","5.13a PG13","never fell on lead but top roped mercilessly. #3 pecker ftw!",https://www.mountainproject.com/route/106135595/fraid-line,1,"Rincon - L of Center Route > Rincon > Eldorado Canyon SP > Boulder > Colorado",3.9,4,,,Trad,,70
2018-04-01,"Perfect Poser","V1 R",,https://www.mountainproject.com/route/105959433/perfect-poser,1,"The Cube > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",3.3,4,,,Boulder,,25
2018-04-01,"The Pearl",V5-,OS,https://www.mountainproject.com/route/106056281/the-pearl,1,"The Pearl > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",3.2,4,,,Boulder,,12
2018-04-01,"Plumbers Crack (North side chimney)","V0 R",,https://www.mountainproject.com/route/106617793/plumbers-crack-north-side-chimney,1,"Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",3.6,4,,,Boulder,,25
2018-04-01,"Leaning Wide Crack","5.9 V1",,https://www.mountainproject.com/route/106629920/leaning-wide-crack,1,"Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",2.7,3,,,Boulder,,12
2018-04-01,"Plumber's Crack","V2 R",,https://www.mountainproject.com/route/107185645/plumbers-crack,1,"Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",3.6,4,,,Boulder,,40
2018-04-01,"The Original Route",5.12-,"one fall on the last 12. Was able to lower and Redpoint the pitch. What a route! lead every pitch",https://www.mountainproject.com/route/105732410/the-original-route,14,"The Rainbow Wall > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada",4.0,4,,,Trad,,1000
2018-04-01,"Levitation 29",5.11b/c,,https://www.mountainproject.com/route/105732443/levitation-29,7,"Eagle Wall > 12-Oak Creek Canyon > Red Rock > Southern Nevada > Nevada",3.8,3,,,"Trad, Sport",,700
2018-04-01,"The Nightcrawler",5.10+,,https://www.mountainproject.com/route/105920684/the-nightcrawler,4,"Brownstone Wall > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada",3.8,4,,,"Trad, Sport",,550
2018-04-01,"Pickled Cock",5.11c,,https://www.mountainproject.com/route/105944488/pickled-cock,1,"Cannibal Crag > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",2.8,2,,,Sport,,50
2018-04-01,Maneater,5.12a,,https://www.mountainproject.com/route/105834017/maneater,1,"Cannibal Crag > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",2.7,3,Lead,Flash,Sport,,
2018-04-01,"New Wave Hookers",5.12c,"2nd go",https://www.mountainproject.com/route/105956354/new-wave-hookers,1,"Cannibal Crag > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",3.6,4,,,Sport,,40
2018-04-01,"Redmond Barry",5.10b,,https://www.mountainproject.com/route/108256301/redmond-barry,1,"Kubrick's > Rifle Mountain Park > Rifle > Colorado",2.5,3,,,Sport,,60
2018-03-24,"Lost and Found",5.12b,,https://www.mountainproject.com/route/106002073/lost-and-found,1,"Meat Wall > Rifle Mountain Park > Rifle > Colorado",3.5,4,Lead,Onsight,Sport,,
2018-03-09,Recon,5.6,,https://www.mountainproject.com/route/105760905/recon,2,"Wind Tower - SW Face > The Wind Tower > Eldorado Canyon SP > Boulder > Colorado",2.0,2,Solo,,Trad,,300
2018-03-09,"West Overhang",5.7,,https://www.mountainproject.com/route/105751342/west-overhang,2,"Wind Tower - SW Face > The Wind Tower > Eldorado Canyon SP > Boulder > Colorado",2.3,3,,,Trad,,
2018-03-09,"The Bomb",5.4,,https://www.mountainproject.com/route/105750568/the-bomb,2,"Wind Tower - SW Face > The Wind Tower > Eldorado Canyon SP > Boulder > Colorado",2.0,2,,,"Trad, TR",,
2018-03-09,"Wind Ridge",5.7,,https://www.mountainproject.com/route/105748361/wind-ridge,4,"Wind Tower - SW Face > The Wind Tower > Eldorado Canyon SP > Boulder > Colorado",3.1,3,Solo,,Trad,,
2018-03-04,"Paradise Lost",5.9-,,https://www.mountainproject.com/route/105999884/paradise-lost,1,"Red Devil > Central > Flatirons > Boulder > Colorado",2.9,3,,,Sport,,100
2018-03-04,"Patience Face",5.12a,,https://www.mountainproject.com/route/106207663/patience-face,1,"Dinosaur Rock > Central > Flatirons > Boulder > Colorado",3.4,4,Lead,Onsight,"Sport, TR",,115
2018-03-03,"The Web",5.13b,,https://www.mountainproject.com/route/105752767/the-web,1,"Supremacy Rock > Eldorado Canyon SP > Boulder > Colorado",3.5,4,Lead,Redpoint,Sport,,25
2018-02-25,"The Mummy",5.8,,https://www.mountainproject.com/route/106337191/the-mummy,1,"The Quarry Wall > North Table Mountain/Golden Cliffs > Golden > Colorado",1.6,2,,,Trad,,40
2018-02-25,"Marry Me, Becky",5.10b,,https://www.mountainproject.com/route/106230405/marry-me-becky,1,"The Quarry Wall > North Table Mountain/Golden Cliffs > Golden > Colorado",2.3,2,,,Trad,,
2018-02-25,"Silver Bullet",5.11+,,https://www.mountainproject.com/route/106141166/silver-bullet,1,"The Quarry Wall > North Table Mountain/Golden Cliffs > Golden > Colorado",3.2,3,Lead,Onsight,Trad,5.12a,80
2018-02-19,"Center Route",5.11a/b,,https://www.mountainproject.com/route/105750400/center-route,1,"Rincon - Center Route & R > Rincon > Eldorado Canyon SP > Boulder > Colorado",3.8,4,,,Trad,,
2018-02-19,Calypso,5.6,,https://www.mountainproject.com/route/105748391/calypso,3,"Wind Tower - SW Face > The Wind Tower > Eldorado Canyon SP > Boulder > Colorado",3.0,3,,,Trad,,
2018-02-17,"Five-Ten Crack",5.10a,,https://www.mountainproject.com/route/105748945/five-ten-crack,1,"Rincon - Center Route & R > Rincon > Eldorado Canyon SP > Boulder > Colorado",2.7,3,,,Trad,,
2018-02-04,"Southern Prow",V0,,https://www.mountainproject.com/route/106672667/southern-prow,1,"The East Egg > The Musical Boulders (aka- Eldorado Canyon Trail Boulders ) > Eldorado Canyon Bouldering > Eldorado Canyon SP > Boulder > Colorado",2.8,3,,,Boulder,,20
2018-02-04,"The Walrus",V5,,https://www.mountainproject.com/route/106672662/the-walrus,1,"The East Egg > The Musical Boulders (aka- Eldorado Canyon Trail Boulders ) > Eldorado Canyon Bouldering > Eldorado Canyon SP > Boulder > Colorado",3.0,3,,,Boulder,,20
2018-02-04,Eggman,V3,,https://www.mountainproject.com/route/106672655/eggman,1,"The East Egg > The Musical Boulders (aka- Eldorado Canyon Trail Boulders ) > Eldorado Canyon Bouldering > Eldorado Canyon SP > Boulder > Colorado",3.3,2,,,Boulder,,18
2018-02-04,"Horan Face",V6-,,https://www.mountainproject.com/route/106159050/horan-face,1,"The Gill Boulder > Eldorado Canyon Bouldering > Eldorado Canyon SP > Boulder > Colorado",3.3,3,,,Boulder,,12
2018-01-21,Anacostia,V4,,https://www.mountainproject.com/route/105758368/anacostia,1,"The Ghetto > North > Flatirons > Boulder > Colorado",2.3,3,,,Boulder,,20
2018-01-21,"Skin Poppin' Slut",V4,,https://www.mountainproject.com/route/105758221/skin-poppin-slut,1,"The Ghetto > North > Flatirons > Boulder > Colorado",3.3,4,,,Boulder,,10
2018-01-21,"Lip Traverse",V2,,https://www.mountainproject.com/route/105758170/lip-traverse,1,"The Ghetto > North > Flatirons > Boulder > Colorado",3.8,4,,,Boulder,,100
2018-01-20,Mesca-Line,5.7+,,https://www.mountainproject.com/route/105748921/mesca-line,1,"West Ridge - part C - Pony Express to Long John > The West Ridge > Eldorado Canyon SP > Boulder > Colorado",2.7,3,,,Trad,,
2018-01-20,"Sister Morphine",5.9-,,https://www.mountainproject.com/route/105754633/sister-morphine,1,"West Ridge - part C - Pony Express to Long John > The West Ridge > Eldorado Canyon SP > Boulder > Colorado",2.5,3,,,"Trad, TR",,
2018-01-20,"Handcracker Direct",5.10a,,https://www.mountainproject.com/route/105749599/handcracker-direct,5,"West Ridge - part C - Pony Express to Long John > The West Ridge > Eldorado Canyon SP > Boulder > Colorado",3.6,3,,,Trad,,
2018-01-15,Rewritten,5.7,"linked with ruper and yellow spur",https://www.mountainproject.com/route/105750106/rewritten,6,"Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",3.7,4,,,Trad,,
2018-01-15,"The Yellow Spur",5.9+,"linked with ruper and rewritten",https://www.mountainproject.com/route/105748657/the-yellow-spur,6,"Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",3.8,4,,,Trad,,
2018-01-15,Ruper,5.8+,"linked with yellow spur and rewritten",https://www.mountainproject.com/route/105748774/ruper,6,"Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",3.6,4,,,Trad,,
2018-01-13,"Triceratops Tracks","5.10b R",,https://www.mountainproject.com/route/105762036/triceratops-tracks,1,"Dinosaur Rock > Central > Flatirons > Boulder > Colorado",2.0,3,,,"Sport, TR",,60
2018-01-13,"Big Bob Cranks",5.10b,,https://www.mountainproject.com/route/105762033/big-bob-cranks,1,"Dinosaur Rock > Central > Flatirons > Boulder > Colorado",2.4,3,,,"Sport, TR",,60
2018-01-13,"New Saigon",5.11a/b,,https://www.mountainproject.com/route/105822978/new-saigon,1,"The Hand > Central > Flatirons > Boulder > Colorado",2.5,3,,,Sport,,60
2018-01-13,"Cardboard Cowboy",5.11b,,https://www.mountainproject.com/route/106189033/cardboard-cowboy,1,"The Hand > Central > Flatirons > Boulder > Colorado",3.4,3,,,Sport,,45
2018-01-07,"Hot Stuff",5.10,,https://www.mountainproject.com/route/105749551/hot-stuff,1,"Wall of the '90s > Clear Creek Canyon > Golden > Colorado",2.9,4,,,Sport,,135
2018-01-07,"Pretty Woman",5.10a,,https://www.mountainproject.com/route/106274771/pretty-woman,1,"Wall of the '90s > Clear Creek Canyon > Golden > Colorado",2.7,3,,,Sport,,95
2018-01-07,Stroh's,5.11-,,https://www.mountainproject.com/route/105758730/strohs,1,"Lower Capitalist Crag > Capitalist Crag > Clear Creek Canyon > Golden > Colorado",2.5,3,,,Sport,5.11b/c,60
2018-01-07,Lunchmoney,5.9+,,https://www.mountainproject.com/route/105756478/lunchmoney,1,"Lower Capitalist Crag > Capitalist Crag > Clear Creek Canyon > Golden > Colorado",3.1,4,,,Sport,,100
2018-01-06,"Drumstick Direct",5.10d,,https://www.mountainproject.com/route/105750436/drumstick-direct,1,"Turkey Tail > Turkey Rocks > South Platte > Colorado",3.9,4,,,Trad,,
2017-12-30,"Wunsch's Dihedral",5.11,"with Mitch and Andy",https://www.mountainproject.com/route/105752347/wunschs-dihedral,4,"Cynical Pinnacle > Cathedral Spires Area > South Platte > Colorado",4.0,4,,,Trad,5.11d,
2017-12-17,"Original Grapple",V4-,,https://www.mountainproject.com/route/105751345/original-grapple,1,"BBC Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",3.1,3,,,Boulder,,
2017-12-17,"Girlfriend's Backside",V7,OS,https://www.mountainproject.com/route/105751456/girlfriends-backside,1,"Girlfriend Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",2.4,3,,,Boulder,,
2017-12-16,"Dodge Block",5.0,,https://www.mountainproject.com/route/105752314/dodge-block,1,"Second Flatiron > North > Flatirons > Boulder > Colorado",2.2,3,,,Trad,,
2017-12-16,"East Face Left",5.5,,https://www.mountainproject.com/route/105752749/east-face-left,9,"Third Flatiron > North > Flatirons > Boulder > Colorado",3.4,4,,,Trad,,1300
2017-12-10,"Practice Wall",5.11a,"with Andy",https://www.mountainproject.com/route/105750523/practice-wall,2,"West Ridge - part C - Pony Express to Long John > The West Ridge > Eldorado Canyon SP > Boulder > Colorado",3.6,4,,,Trad,,
2017-12-09,"The Scientist",5.11a/b,,https://www.mountainproject.com/route/105759351/the-scientist,1,"Middle > Plotinus Wall > Lower Dream Canyon > Boulder Canyon > Boulder > Colorado",3.3,3,,,"Trad, Sport",,80
2017-12-09,"Lucid Dreaming",5.12c/d,,https://www.mountainproject.com/route/105755821/lucid-dreaming,1,"Middle > Plotinus Wall > Lower Dream Canyon > Boulder Canyon > Boulder > Colorado",3.7,4,,,Sport,5.12c,
2017-12-03,"Mr. Natural",5.8+,,https://www.mountainproject.com/route/105749290/mr-natural,1,"Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",2.4,3,,,Trad,,70
2017-12-03,"C'est La Vie",5.11,,https://www.mountainproject.com/route/105748792/cest-la-vie,2,"Redgarden - S Buttress > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",3.5,3,,,Trad,,
2017-12-03,Guenese,5.11a,,https://www.mountainproject.com/route/105748780/guenese,1,"Redgarden - Roof Routes > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",3.3,4,,,Trad,,
2017-12-03,Sequential,5.12a,"2nd go!",https://www.mountainproject.com/route/105752455/sequential,1,"Kloof Alcove > Eldorado Canyon SP > Boulder > Colorado",3.8,4,,,Trad,,70
2017-12-02,"Orange Crush",5.11c,,https://www.mountainproject.com/route/105763278/orange-crush,1,"Right Gully > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado",2.4,3,,,Sport,,80
2017-12-02,"Jolt Cola",5.12a,,https://www.mountainproject.com/route/105750694/jolt-cola,1,"Right Gully > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado",3.5,3,,,Sport,,
2017-12-02,Conan,5.11c/d,,https://www.mountainproject.com/route/105758650/conan,1,"Upper East Face > Blob Rock > Blob Rock Area > Boulder Canyon > Boulder > Colorado",3.6,3,,,Trad,,70
2017-11-26,"The Black Crack",5.9+,,https://www.mountainproject.com/route/105749899/the-black-crack,1,"Castle Rock > Boulder Canyon > Boulder > Colorado",2.2,2,,,Trad,,
2017-11-26,"Curving Crack",5.9+,,https://www.mountainproject.com/route/105749293/curving-crack,1,"Castle Rock > Boulder Canyon > Boulder > Colorado",2.6,3,,,Trad,,
2017-11-26,Tongo,5.11a,,https://www.mountainproject.com/route/105749893/tongo,2,"Castle Rock > Boulder Canyon > Boulder > Colorado",2.9,3,,,Trad,,
2017-11-26,"Athlete's Feat",5.11a/b,"hard. Had to redpoint p2",https://www.mountainproject.com/route/105749872/athletes-feat,5,"Castle Rock > Boulder Canyon > Boulder > Colorado",3.4,3,,,Trad,,
2017-11-26,"The Sting",5.11,,https://www.mountainproject.com/route/106987720/the-sting,1,"Castle Rock > Boulder Canyon > Boulder > Colorado",3.1,3,,,Trad,,100
2017-11-25,"1/2 Route",5.10+,,https://www.mountainproject.com/route/105717895/12-route,1,"Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",3.7,4,,,Sport,,80
2017-11-25,Namaste,5.11d,,https://www.mountainproject.com/route/105717892/namaste,1,"Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",3.9,4,,,Sport,,140
2017-11-25,"The Fox",5.10+,,https://www.mountainproject.com/route/105732254/the-fox,1,"The Fox Area > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",3.9,4,,,Trad,,150
2017-11-25,"Steep Thrills",5.12a,,https://www.mountainproject.com/route/105732686/steep-thrills,1,"Sunny and Steep > Kraft Mountain area > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",3.3,4,,,Sport,,
2017-11-25,"Caustic Cock",5.11b,,https://www.mountainproject.com/route/105820098/caustic-cock,1,"Cannibal Crag > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",3.4,3,,,Sport,,40
2017-11-25,Atman,5.10a,,https://www.mountainproject.com/route/105732482/atman,1,"Yin and Yang Cliff > Kraft Mountain area > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",3.1,3,,,Trad,,40
2017-11-25,"Yin and Yang",5.11a,,https://www.mountainproject.com/route/105732485/yin-and-yang,1,"Yin and Yang Cliff > Kraft Mountain area > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",3.5,4,,,Trad,,40
